"iata","name","city","subd","country","lat","lon","iso"
"DYW","Daly Waters Airport","Daly Waters","Northern Territory","Australia","-16.2647","133.38338","AU"
"DMD","Doomadgee Airport","","Queensland","Australia","-17.9403","138.82201","AU"
"DVR","Daly River Airport","","Northern Territory","Australia","-13.74981","130.69388","AU"
"NLF","Darnley Island Airport","Darnley Island","Queensland","Australia","-9.58333","143.767","AU"
"DRD","Dorunda Airport","","Queensland","Australia","-16.5583","141.808","AU"
"DVP","Davenport Downs Airport","","Queensland","Australia","-24.15","141.108","AU"
"DPO","Devonport Airport","Devonport","Tasmania","Australia","-41.1697","146.42999","AU"
"DOX","Dongara Airport","","Western Australia","Australia","-29.3","114.933","AU"
"DRY","Drysdale River Airport","","Western Australia","Australia","-15.71357","126.3811","AU"
"DHD","Durham Downs Airport","","Queensland","Australia","-27.075","141.89999","AU"
"DRR","Durrie Airport","","Queensland","Australia","-25.685","140.228","AU"
"DKV","Docker River Airport","","Northern Territory","Australia","-24.86","129.07001","AU"
"DYA","Dysart Airport","","Queensland","Australia","-22.6222","148.364","AU"
"ECH","Echuca Airport","","Victoria","Australia","-36.1572","144.76199","AU"
"EUC","Eucla Airport","","Western Australia","Australia","-31.7","128.883","AU"
"ETD","Etadunna Airport","Etadunna","South Australia","Australia","-28.7408","138.589","AU"
"ENB","Eneabba Airport","Eneabba","Western Australia","Australia","-29.8325","115.246","AU"
"EIH","Einasleigh Airport","Einasleigh","Queensland","Australia","-18.5033","144.09399","AU"
"ELC","Elcho Island Airport","Elcho Island","Northern Territory","Australia","-12.0194","135.571","AU"
